,Unnamed: 0,Date Occurred,Time Occurred,Area Name,Reporting District,Crime Code Description,Victim Age,Victim Sex,Victim Descent,Premise Description,Location ,Month,Day,Year,Lat,Lon,Datetime,Daily Max Temp
14,983216,10/03/2015,1300,Central,185,PICKPOCKET,19.0,F,H,SIDEWALK,"(34.0383, -118.254)",10,3,2015,34.0383,-118.254,2015-10-03,27.2
58,995317,01/27/2015,1715,Central,158,KIDNAPPING,29.0,F,W,SIDEWALK,"(34.0395, -118.2405)",1,27,2015,34.0395,-118.2405,2015-01-27,20.3
240,995524,05/31/2015,240,Central,164,PICKPOCKET,28.0,F,H,BAR/COCKTAIL/NIGHTCLUB,"(34.046, -118.2509)",5,31,2015,34.046,-118.2509,2015-05-31,24.1
255,995541,01/18/2015,1300,Central,181,PICKPOCKET,49.0,M,W,OTHER BUSINESS,"(34.0431, -118.2692)",1,18,2015,34.0431,-118.2692,2015-01-18,22.7
405,995716,09/28/2015,2230,Central,111,KIDNAPPING,23.0,F,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","(34.0591, -118.2412)",9,28,2015,34.0591,-118.2412,2015-09-28,33.0
630,995989,01/06/2015,1047,Central,165,CRIMINAL HOMICIDE,34.0,M,B,SIDEWALK,"(34.0433, -118.2488)",1,6,2015,34.0433,-118.2488,2015-01-06,27.1
730,996103,01/12/2015,1600,Central,112,KIDNAPPING,28.0,M,B,STREET,"(34.057, -118.2437)",1,12,2015,34.057,-118.2437,2015-01-12,18.7
776,996152,01/15/2015,1155,Central,165,PICKPOCKET,19.0,F,W,SIDEWALK,"(34.0439, -118.2479)",1,15,2015,34.0439,-118.2479,2015-01-15,22.5
957,996346,01/24/2015,624,Central,195,ARSON,28.0,F,O,"VEHICLE, PASSENGER/TRUCK","(34.0341, -118.2591)",1,24,2015,34.0341,-118.2591,2015-01-24,26.2
982,996372,01/25/2015,730,Central,154,PICKPOCKET,21.0,F,O,SIDEWALK,"(34.046, -118.2509)",1,25,2015,34.046,-118.2509,2015-01-25,26.5
999,996392,01/26/2015,735,Central,118,THROWING OBJECT AT MOVING VEHICLE,54.0,F,H,STREET,"(34.0695, -118.2273)",1,26,2015,34.0695,-118.2273,2015-01-26,24.9
1173,996581,02/01/2015,2001,Central,192,CRIMINAL HOMICIDE,48.0,F,O,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","(34.0407, -118.268)",2,1,2015,34.0407,-118.268,2015-02-01,23.4
1235,996653,02/04/2015,1530,Central,185,PICKPOCKET,25.0,F,W,STREET,"(34.0388, -118.2574)",2,4,2015,34.0388,-118.2574,2015-02-04,22.3
1285,996706,02/07/2015,1940,Central,111,CRIMINAL HOMICIDE,48.0,M,B,PARKING LOT,"(34.0606, -118.2439)",2,7,2015,34.0606,-118.2439,2015-02-07,19.2
1411,996841,02/12/2015,1800,Central,105,KIDNAPPING,40.0,M,H,SIDEWALK,"(34.071, -118.2302)",2,12,2015,34.071,-118.2302,2015-02-12,29.7
1506,996953,02/03/2015,1000,Central,166,PICKPOCKET,54.0,F,B,SIDEWALK,"(34.0412, -118.2474)",2,3,2015,34.0412,-118.2474,2015-02-03,21.8
1525,996974,02/18/2015,1945,Central,153,PICKPOCKET,49.0,M,W,SIDEWALK,"(34.0452, -118.2534)",2,18,2015,34.0452,-118.2534,2015-02-18,22.1
